"Durazno", 143.79, 800
"Zanahoria", 33.93, 606
"Palta", 1168.53, 364
"Rabanito", 240.24, 306
"Caqui", 797.14, 119
"Cebolla", 69.66, 712
"Lima", 1271.38, 170
"Frutilla", 285.11, 276
"Melon", 104.61, 348
"Lima", 1029.76, 226
"Durazno", 299.36, 640
"Rabanito", 222.06, 348
"Melon", 125.26, 336
"Mandarina", 16.23, 840
"Acelga", 17.93, 720
"Calabaza", 17.94, 656
"Caqui", 795.36, 86
"Batata", 11.04, 920
"Durazno", 186.36, 824
"Higo", 2502.07, 107
"Choclo", 65.49, 300
"Coliflor", 24.32, 510
"Kiwi", 428.46, 436
"Coliflor", 28.38, 585
"Lima", 1021.03, 180
"Lechuga", 29.18, 1062
"Sandia", 49.91, 873
"Pepino", 40.78, 585
"Brocoli", 350.97, 388
"Morron", 2929.84, 552
"Lima", 1401.37, 236
"Naranja", 18.36, 830
"Lima", 1282.24, 202
"Cereza", 1060.49, 182
"Kinoto", 32.82, 202
"Pomelo", 46.04, 1071
"Naranja", 12.99, 1080
"Ciruela", 995.65, 1071
"Naranja", 5.12, 840
"Melon", 81.23, 472
"Banana", 64.16, 1080
"Brocoli", 317.97, 392
"Ciruela", 962.78, 999
"Sandia", 61.45, 720
"Uva", 704.62, 324
"Kinoto", 36.12, 240
"Lima", 1247.09, 194
"Palta", 1130.20, 352
"Limon", 309.28, 756
"Pepino", 40.88, 510
"Esparrago", 660.60, 176
"Papa", 12.10, 1070
"TomCherry", 613.87, 230
"Palta", 485.59, 575
"Zanahoria", 30.88, 654
"Banana", 61.24, 980
"Uva", 666.11, 285
"Lima", 1031.88, 168
"Cebolla", 55.71, 672
"Durazno", 163.41, 784
"Caqui", 835.57, 107
"Pomelo", 41.80, 801
"Melon", 114.82, 468
"Zanahoria", 29.86, 702
"Naranja", 14.26, 830
"Ajo", 869.32, 107
"Frutilla", 281.15, 252
"Choclo", 63.88, 327
"Palta", 1175.74, 476
"Ajo", 875.60, 82
"Calabaza", 14.77, 792
"Apio", 42.71, 312
"Coliflor", 29.69, 445
"Zuccini", 90.45, 660
"Batata", 22.48, 990
"Lima", 1028.46, 164
"Mandarina", 17.60, 1130
"Pera", 128.58, 1120
"Mandarina", 15.98, 970
"Zanahoria", 27.35, 648
"Manzana", 146.59, 1130
"Naranja", 9.15, 1010
"Coliflor", 27.01, 440
"Choclo", 46.46, 267
"Sandia", 58.69, 729
"Cebolla", 58.82, 936
"Lima", 1322.31, 224
"Acelga", 18.81, 882
"Caqui", 790.04, 117
"Choclo", 49.89, 243
"Uva", 646.34, 321
"Champignon", 3570.16, 115
"Kiwi", 446.39, 480
"Naranja", 4.85, 850
"Papa", 19.68, 1170
"Palta", 1144.18, 476
"Caqui", 767.33, 109
"Choclo", 52.90, 360
"Mandarina", 10.89, 1080
"Calabaza", 14.15, 896
"Morron", 2854.03, 672
"Tomate", 741.39, 756
"Kiwi", 468.41, 392
"Mandarina", 16.76, 990
"Sandia", 59.49, 990
"Cebolla", 52.41, 640
"Sandia", 58.63, 810
"Durazno", 138.34, 936
"Cebolla", 55.33, 856
"Palta", 511.60, 545
"Papa", 17.97, 1040
"Tomate", 720.59, 855
"Higo", 2446.73, 88
"Durazno", 150.82, 872
"Rabanito", 210.84, 360
"Champignon", 3471.21, 87
"Palta", 1125.60, 376
"Durazno", 133.07, 800
"Berenjena", 54.92, 486
"Calabaza", 17.32, 640
"Frambuesa", 2052.11, 120
"Kinoto", 41.87, 162
"Coliflor", 23.49, 475
"Acelga", 19.63, 720
"Lima", 1370.47, 186
"Choclo", 43.72, 357
"Mandarina", 19.44, 1080
"Morron", 2941.48, 504
"Choclo", 41.90, 300
"Cebolla", 76.00, 920
"Caqui", 836.73, 92
"Durazno", 172.20, 752
"Banana", 67.67, 990
"Berenjena", 52.19, 564
"Caqui", 824.52, 84
"Berenjena", 53.46, 684
"Kiwi", 466.91, 324
"Frambuesa", 2052.05, 106
"Apio", 67.81, 252
"Ajo", 864.29, 115
"Morron", 2908.41, 630
"Lima", 1401.94, 206
"Naranja", 20.00, 840
"Apio", 67.52, 315
"Zuccini", 80.15, 540
"Ajo", 913.76, 116
"Caqui", 807.50, 117
"Naranja", 16.62, 1000
"Naranja", 5.06, 1110
"Frutilla", 278.28, 294
"Mandarina", 19.41, 1150
"Manzana", 148.22, 880
"Coliflor", 40.76, 500
"Lima", 1349.02, 170
"Repollo", 6.24, 812
"Ciruela", 959.26, 837
"Palta", 492.97, 540
"Papa", 23.11, 1150
"Caqui", 793.73, 103
"Lechuga", 48.86, 1044
"Rabanito", 212.01, 240
"Naranja", 16.38, 920
"Limon", 330.23, 658
"Ajo", 894.71, 91
"Durazno", 266.55, 640
"Cebolla", 57.46, 704
"Zuccini", 88.43, 690
"Lima", 1057.44, 170
"Mandarina", 23.99, 890
"Repollo", 5.28, 791
"Acelga", 22.45, 990
"Durazno", 147.67, 704
"Manzana", 140.37, 970
"Cebolla", 56.14, 744
"Coliflor", 20.92, 510
"Berenjena", 51.24, 654
"Cebolla", 69.59, 760
"Mandarina", 16.20, 950
"Zuccini", 78.50, 684
"Repollo", 3.55, 728
"Choclo", 75.68, 246
"Sandia", 72.04, 1071
"Palta", 458.75, 530
"Frambuesa", 2126.75, 118
"Esparrago", 634.35, 206
"Palta", 462.91, 600
"Pera", 151.75, 1160
"Ciruela", 929.38, 819
"Kiwi", 453.37, 336
"Tomate", 778.81, 981
"Lima", 1237.11, 196
"Batata", 22.95, 1020
"Pomelo", 41.90, 1044
"Palta", 502.74, 455
"Naranja", 13.55, 810
"Batata", 9.59, 1050
"Palta", 1173.03, 328
"Caqui", 806.21, 107
"Durazno", 274.40, 808
"Higo", 2491.91, 116
"Naranja", 10.82, 1040
"Zuccini", 82.80, 618
"Mandarina", 15.02, 1150
"Esparrago", 605.68, 192
"Kiwi", 449.52, 448
"Naranja", 15.86, 960
"Kinoto", 35.87, 174
"Berenjena", 55.12, 480
"Mandarina", 17.31, 1040
"Morron", 3014.50, 702
"Manzana", 137.59, 800
"Rabanito", 249.80, 291
"Banana", 70.08, 1170
"Apio", 45.74, 246
"Zanahoria", 33.62, 552
"Mandarina", 30.06, 860
"Uva", 716.37, 261
"Berenjena", 63.13, 588
"Lima", 1258.36, 204
"Palta", 503.28, 550
"Champignon", 3603.39, 107
"Esparrago", 624.34, 240
"Calabaza", 15.50, 944
"Kinoto", 35.08, 178
"Rabanito", 232.43, 303
"Rabanito", 233.61, 246
"Pera", 152.13, 1100
"Esparrago", 595.47, 194
"Lima", 1230.90, 208
"Uva", 637.13, 351
"Lima", 1163.77, 170
"Berenjena", 45.26, 624
"Cereza", 1059.53, 214
"Frambuesa", 2124.50, 102
"Zanahoria", 25.46, 624
"Ajo", 926.22, 85
"Acelga", 20.25, 747
"Durazno", 185.30, 880
"Zanahoria", 29.00, 678
"Banana", 58.34, 910
"Calabaza", 16.77, 728
"Caqui", 818.87, 80
"Zanahoria", 34.13, 540
"Pera", 161.02, 1070
